s, V0, V1, V2
0.004970073699951172,  5.00, 25.00,  0.00
0.00710296630859375,  0.00, 25.00,  0.00
0.009160995483398438,  0.00, 25.00,  0.00
0.0112152099609375,  0.00, 25.00,  0.00
0.01328420639038086,  0.00, 25.00,  0.00
0.015433073043823242,  0.00, 25.00,  0.00
0.017519235610961914,  0.00, 20.00,  0.00
0.019607067108154297,  0.00, 20.00,  0.00
0.021685123443603516,  0.00, 20.00,  0.00
0.023754119873046875,  0.00, 20.00,  0.00
0.025834083557128906,  0.00, 20.00,  0.00
0.02788710594177246,  0.00, 20.00,  0.00
0.029957056045532227,  0.00, 20.00,  0.00
0.03202509880065918,  0.00, 20.00,  0.00
0.03417015075683594,  0.00, 20.00,  0.00
0.03625297546386719,  0.00, 20.00,  0.00
0.03832507133483887,  0.00, 20.00,  0.00
0.04038810729980469,  0.00, 20.00,  0.00
0.042446136474609375,  0.00, 20.00,  0.00
0.04451704025268555,  0.00, 20.00,  0.00
0.0465850830078125,  0.00, 20.00,  0.00
0.048668861389160156,  0.00, 20.00,  0.00
0.05074501037597656,  0.00, 20.00,  0.00
0.0528111457824707,  0.00, 20.00,  0.00
0.0559229850769043,  0.00, 20.00,  0.00
0.05863022804260254,  0.00, 20.00,  0.00
0.06073498725891113,  0.00, 20.00,  0.00
0.06281614303588867,  0.00, 25.00,  0.00
0.06494998931884766,  0.00, 25.00,  0.00
0.06699013710021973,  0.00, 20.00,  0.00
0.06900906562805176,  0.00, 25.00,  0.00
0.07102203369140625,  0.00, 25.00,  0.00
0.0730440616607666,  0.00, 20.00,  0.00
0.07513284683227539,  0.00, 25.00,  0.00
0.07719612121582031,  0.00, 20.00,  0.00
0.07924818992614746,  0.00, 20.00,  0.00
0.08130311965942383,  0.00, 20.00,  0.00
0.08336997032165527,  0.00, 25.00,  0.00
0.08548402786254883,  0.00, 25.00,  0.00
0.08928608894348145,  0.00, 25.00,  0.00
0.09140396118164062,  0.00, 25.00,  0.00
0.09345793724060059,  0.00, 20.00,  0.00
0.0955660343170166,  0.00, 25.00,  0.00
0.09758591651916504,  0.00, 20.00,  0.00
0.0998530387878418,  0.00, 20.00,  0.00
0.10191512107849121,  0.00, 25.00,  0.00
0.10393595695495605,  0.00, 25.00,  0.00
0.10619592666625977,  0.00, 25.00,  0.00
0.1082160472869873,  0.00, 25.00,  0.00
0.11020803451538086,  0.00, 25.00,  0.00
0.11221718788146973,  0.00, 25.00,  0.00
0.11435222625732422,  0.00, 25.00,  0.00
0.11639189720153809,  0.00, 25.00,  0.00
0.11841201782226562,  0.00, 25.00,  0.00
0.12043118476867676,  0.00, 25.00,  0.00
0.12244200706481934,  0.00, 25.00,  0.00
0.1247410774230957,  0.00, 20.00,  0.00
0.12681007385253906,  0.00, 25.00,  0.00
0.1288750171661377,  0.00, 25.00,  0.00
0.1309518814086914,  0.00, 25.00,  0.00
0.13301610946655273,  0.00, 25.00,  0.00
0.1351180076599121,  0.00, 25.00,  0.00
0.13718509674072266,  0.00, 25.00,  0.00
0.1392500400543213,  0.00, 25.00,  0.00
0.14130806922912598,  0.00, 20.00,  0.00
0.14336109161376953,  0.00, 25.00,  0.00
0.1454908847808838,  0.00, 20.00,  0.00
0.14757609367370605,  0.00, 25.00,  0.00
0.149644136428833,  0.00, 25.00,  0.00
0.15170812606811523,  0.00, 25.00,  0.00
0.1537790298461914,  0.00, 25.00,  0.00
0.15592408180236816,  0.00, 25.00,  0.00
0.15800023078918457,  0.00, 20.00,  0.00
0.1600492000579834,  0.00, 25.00,  0.00
0.16218018531799316,  0.00, 25.00,  0.00
0.16433501243591309,  0.00, 25.00,  0.00
0.16642999649047852,  0.00, 25.00,  0.00
0.16851210594177246,  0.00, 25.00,  0.00
0.1705799102783203,  0.00, 25.00,  0.00
