s, V0, V1, V2
0.0057468414306640625, 50.00, 10.00, 10.00
0.011339664459228516, 55.00, 15.00, 15.00
0.015781402587890625, 60.00, 15.00, 20.00
0.020174503326416016, 60.00, 20.00, 20.00
0.024515151977539062, 65.00, 20.00, 20.00
0.028976917266845703, 65.00, 20.00, 20.00
0.03341269493103027, 65.00, 20.00, 20.00
0.0379025936126709, 70.00, 20.00, 20.00
0.04234933853149414, 70.00, 20.00, 20.00
0.04676032066345215, 75.00, 20.00, 20.00
0.051267147064208984, 80.00, 20.00, 20.00
0.0556640625, 85.00, 25.00, 25.00
0.0601499080657959, 90.00, 25.00, 25.00
0.06462764739990234,100.00, 30.00, 30.00
0.06906461715698242,100.00, 30.00, 30.00
0.07349753379821777,110.00, 30.00, 30.00
0.07799506187438965,110.00, 30.00, 30.00
0.0824129581451416,115.00, 35.00, 35.00
0.0868978500366211,110.00, 35.00, 35.00
0.09133672714233398,115.00, 35.00, 35.00
0.09574365615844727,110.00, 35.00, 35.00
0.10018730163574219,110.00, 30.00, 30.00
0.1046142578125,115.00, 30.00, 30.00
0.10905194282531738,110.00, 25.00, 25.00
0.11348795890808105,110.00, 25.00, 25.00
0.11800074577331543,105.00, 20.00, 20.00
0.12242436408996582,105.00, 20.00, 20.00
0.12689828872680664,105.00, 15.00, 15.00
0.13132715225219727,105.00, 10.00, 10.00
0.13573408126831055,105.00,  5.00,  5.00
0.1401529312133789,105.00,  5.00,  0.00
0.14456462860107422,100.00,  0.00,  0.00
0.14902734756469727,100.00,  0.00,  0.00
0.15344023704528809,100.00,  0.00,  0.00
0.1579272747039795,100.00,  0.00,  0.00
0.16234707832336426, 95.00,  0.00,  0.00
0.16676688194274902, 95.00,  0.00,  0.00
0.17125177383422852, 95.00,  0.00,  0.00
0.17567062377929688, 90.00,  0.00,  0.00
0.18026256561279297, 95.00,  0.00,  0.00
0.18467140197753906, 85.00,  0.00,  0.00
0.1891021728515625, 85.00,  0.00,  0.00
0.19352173805236816, 80.00,  0.00,  0.00
0.19800281524658203, 75.00,  0.00,  0.00
0.20232462882995605, 70.00,  0.00,  0.00
0.2075974941253662, 70.00,  0.00,  0.00
0.21193432807922363, 65.00,  0.00,  0.00
0.2162461280822754, 60.00,  0.00,  0.00
0.2207958698272705, 55.00,  0.00,  0.00
0.22523164749145508, 55.00,  0.00,  0.00
0.22965741157531738, 60.00,  0.00,  0.00
0.23410654067993164, 60.00,  0.00,  0.00
0.23853421211242676, 60.00,  0.00,  0.00
0.24295806884765625, 60.00,  0.00,  0.00
0.24738073348999023, 55.00,  0.00,  0.00
0.2517697811126709, 55.00,  0.00,  0.00
0.2561616897583008, 55.00,  0.00,  0.00
0.26747798919677734, 50.00,  0.00,  0.00
0.2695591449737549, 50.00,  0.00,  0.00
0.27161312103271484, 50.00,  0.00,  0.00
0.2738468647003174, 50.00,  0.00,  0.00
0.27606797218322754, 50.00,  0.00,  0.00
0.28804755210876465, 50.00,  0.00,  0.00
0.29009246826171875, 50.00,  0.00,  0.00
0.29231929779052734, 50.00,  0.00,  0.00
0.29454517364501953, 50.00,  5.00,  5.00
0.29677391052246094, 50.00, 15.00, 20.00
0.3085818290710449, 50.00, 50.00, 50.00
0.3106346130371094, 55.00, 55.00, 55.00
0.3128542900085449, 55.00, 60.00, 60.00
0.3150913715362549, 55.00, 65.00, 65.00
0.31739330291748047, 55.00, 65.00, 65.00
0.328549861907959, 55.00, 80.00, 75.00
